"director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","actor_1_name","movie_title","num_voted_users","cast_total_facebook_likes","actor_3_name","num_user_for_reviews","content_rating","budget","title_year","actor_2_facebook_likes","imdb_score","movie_facebook_likes","genres"
"James Cameron",723,178,0,855,"Joel David Moore",1000,760505847,"CCH Pounder","Avatar ",886204,4834,"Wes Studi",3054,"PG-13",2.37e+08,2009,936,7.9,33000,"Action"
"Gore Verbinski",302,169,563,1000,"Orlando Bloom",40000,309404152,"Johnny Depp","Pirates of the Caribbean: At World's End ",471220,48350,"Jack Davenport",1238,"PG-13",3e+08,2007,5000,7.1,0,"Action"
"Christopher Nolan",813,164,22000,23000,"Christian Bale",27000,448130642,"Tom Hardy","The Dark Knight Rises ",1144337,106759,"Joseph Gordon-Levitt",2701,"PG-13",2.5e+08,2012,23000,8.5,164000,"Thriller_Action"
"Andrew Stanton",462,132,475,530,"Samantha Morton",640,73058679,"Daryl Sabara","John Carter ",212204,1873,"Polly Walker",738,"PG-13",263700000,2012,632,6.6,24000,"Action"
"Nathan Greno",324,100,15,284,"Donna Murphy",799,200807262,"Brad Garrett","Tangled ",294810,2036,"M.C. Gainey",387,"PG",2.6e+08,2010,553,7.8,29000,"Romance_Comedy_Action"
"Joss Whedon",635,141,0,19000,"Robert Downey Jr.",26000,458991599,"Chris Hemsworth","Avengers: Age of Ultron ",462669,92000,"Scarlett Johansson",1117,"PG-13",2.5e+08,2015,21000,7.5,118000,"Action"
"Zack Snyder",673,183,0,2000,"Lauren Cohan",15000,330249062,"Henry Cavill","Batman v Superman: Dawn of Justice ",371639,24450,"Alan D. Purwin",3018,"PG-13",2.5e+08,2016,4000,6.9,197000,"Action"
"Bryan Singer",434,169,0,903,"Marlon Brando",18000,200069408,"Kevin Spacey","Superman Returns ",240396,29991,"Frank Langella",2367,"PG-13",2.09e+08,2006,10000,6.1,0,"Action"
"Gore Verbinski",313,151,563,1000,"Orlando Bloom",40000,423032628,"Johnny Depp","Pirates of the Caribbean: Dead Man's Chest ",522040,48486,"Jack Davenport",1832,"PG-13",2.25e+08,2006,5000,7.3,5000,"Action"
"Gore Verbinski",450,150,563,1000,"Ruth Wilson",40000,89289910,"Johnny Depp","The Lone Ranger ",181792,45757,"Tom Wilkinson",711,"PG-13",2.15e+08,2013,2000,6.5,48000,"Action"
"Zack Snyder",733,143,0,748,"Christopher Meloni",15000,291021565,"Henry Cavill","Man of Steel ",548573,20495,"Harry Lennix",2536,"PG-13",2.25e+08,2013,3000,7.2,118000,"Action"
"Andrew Adamson",258,150,80,201,"Pierfrancesco Favino",22000,141614023,"Peter Dinklage","The Chronicles of Narnia: Prince Caspian ",149922,22697,"Damián Alcázar",438,"PG",2.25e+08,2008,216,6.6,0,"Action"
"Joss Whedon",703,173,0,19000,"Robert Downey Jr.",26000,623279547,"Chris Hemsworth","The Avengers ",995415,87697,"Scarlett Johansson",1722,"PG-13",2.2e+08,2012,21000,8.1,123000,"Action"
"Rob Marshall",448,136,252,1000,"Sam Claflin",40000,241063875,"Johnny Depp","Pirates of the Caribbean: On Stranger Tides ",370704,54083,"Stephen Graham",484,"PG-13",2.5e+08,2011,11000,6.7,58000,"Action"
"Barry Sonnenfeld",451,106,188,718,"Michael Stuhlbarg",10000,179020854,"Will Smith","Men in Black 3 ",268154,12572,"Nicole Scherzinger",341,"PG-13",2.25e+08,2012,816,6.8,40000,"Comedy_Action"
"Marc Webb",599,153,464,963,"Andrew Garfield",15000,262030663,"Emma Stone","The Amazing Spider-Man ",451803,28489,"Chris Zylka",1225,"PG-13",2.3e+08,2012,10000,7,56000,"Action"
"Ridley Scott",343,156,0,738,"William Hurt",891,105219735,"Mark Addy","Robin Hood ",211765,3244,"Scott Grimes",546,"PG-13",2e+08,2010,882,6.7,17000,"Drama_Action"
"Peter Jackson",509,186,0,773,"Adam Brown",5000,258355354,"Aidan Turner","The Hobbit: The Desolation of Smaug ",483540,9152,"James Nesbitt",951,"PG-13",2.25e+08,2013,972,7.9,83000,"Action"
"Chris Weitz",251,113,129,1000,"Eva Green",16000,70083519,"Christopher Lee","The Golden Compass ",149019,24106,"Kristin Scott Thomas",666,"PG-13",1.8e+08,2007,6000,6.1,0,"Action"
